Name of the station,Year,srcStateName,StateCode,StateName,IntermediateRatio
DAHA AT SIWAN,2016,BIHAR,10,BIHAR,1
GANGUA AT PALASUNI,2019,ODISHA,21,ODISHA,1
"GHAGHARA NEAR CHAPRA, BIHAR",2018,BIHAR,10,BIHAR,1
KOSHI AT BEERPUR,2016,BIHAR,10,BIHAR,1
RIVER MALEI AT JAORA,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
KHARASROTA AT AUL,2017,ODISHA,21,ODISHA,1
CUTTACK FDS (SERUA) AT SANKHATRASA,2018,ODISHA,21,ODISHA,1
BRAHMAPUTRA AT DHUBRI,2012,ASSAM,18,ASSAM,1
"NARMADA AT MANDLA, NEAR SHAMSHANGHAT,JABALPUR",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
"SEONATH AT JHINGHRI VILLAGE, A/C OF SAMODA NALLA, CHHATISGARH.",2017,CHATTISGARH,22,CHHATTISGARH,1
"BORI D/S OF AMALNER, JALGAON",2012,MAHARASHTRA,27,MAHARASHTRA,1
"JUMAR RIVER AT BIT MESRA, RANCHI",2019,JHARKHAND,20,JHARKHAND,1
"KRISHNA A/C TUNGABHADRA, SANGAMESHWARAM",2012,ANDHRA PRADESH,28,ANDHRA PRADESH,1
"NARMADA AT BHARUCH, ZADESHVAR,",2019,GUJARAT,24,GUJARAT,1
"SABARI AT KUNAVARAM, KHAMMAM",2012,ANDHRA PRADESH,36,TELANGANA,1
KOSHI RIVER AT KURSHELA AT KATIHAR,2013,BIHAR,10,BIHAR,1
"RIVER SAI AT JALALPUR, JAUNPUR",2019,UTTAR PRADESH,9,UTTAR PRADESH,1
YAMUNA AT HANUMANCHATTI,2012,UTTARAKHAND,5,UTTARAKHAND,1
"DAHA RIVER AT ITWA BRIDGE, SIWAN",2013,BIHAR,10,BIHAR,1
GODAVARI AT RAHER,2016,MAHARASHTRA,27,MAHARASHTRA,1
"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",2012,ORISSA,21,ODISHA,1
"YAMUNA AT ETAWAH, U.P.",2014,"CPCB, DELHI",7,UTTAR PRADESH,1
TAPI AT NEPANAGAR M.P.,2014,MADHYA PRADESH,24,MADHYA PRADESH,1
BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,2017,UTTARAKHAND,5,UTTARAKHAND,1
"BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT MUKERIAN ,",2018,PUNJAB,3,PUNJAB,1
"MAHANADI AT SAMBALPUR U/S, ODISHA",2014,ODISHA,21,ODISHA,1
"GOMTI AT VARANASI, U.P",2013,UTTAR PRADESH,9,UTTAR PRADESH,1
"CHURNI, MAJHADIA",2012,WEST BENGAL,19,WEST BENGAL,1
MAHANADI AT KHARAD,2016,CHHATTISGARH,22,CHHATTISGARH,1
"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL, A.P",2018,ANDHRA PRADESH,28,ANDHRA PRADESH,1
KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,2018,MADHYA PRADESH,23,MADHYA PRADESH,1
"JHANJI AT N.H. CROSSING JORHAT, ASSAM",2017,ASSAM,18,ASSAM,1
BRAHMANI AT PATTAMUNDAI,2017,ODISHA,21,ODISHA,1
"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL, PUNJAB",2014,PUNJAB,3,PUNJAB,1
"KONAR RIVER NEAR SWANG COAL WASHERY, BOKARO",2018,JHARKHAND,20,JHARKHAND,1
RIVER CHILLAR AT SHAJAPUR,2014,MADHYA PRADESH,23,MADHYA PRADESH,1
MAHI AI UMETA BRIDGE,2013,GUJARAT,24,GUJARAT,1
"SINDH AT DABRA, M.P",2014,MADHYA PRADESH,23,MADHYA PRADESH,1
