srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Maharashtra,Nagpur,2021,27,MAHARASHTRA,1
Chhattisgarh,Bastar,2021,22,CHHATTISGARH,1
Uttar Pradesh,Lalpur,2021,9,UTTAR PRADESH,1
Uttar Pradesh,Baraulikhalilabad,2021,9,UTTAR PRADESH,1
Madhya Pradesh,Dongar Parasia,2021,23,MADHYA PRADESH,1
Maharashtra,Peth Shahapur,2021,27,MAHARASHTRA,1
Odisha,Paralakhemundi,2021,21,ODISHA,1
West Bengal,Halisahar,2021,19,WEST BENGAL,1
Andhra Pradesh,Thummlagunta,2021,28,ANDHRA PRADESH,1
Gujarat,Mahika,2021,24,GUJARAT,1
Madhya Pradesh,Jobat,2021,23,MADHYA PRADESH,1
Uttar Pradesh,Kharela,2021,9,UTTAR PRADESH,1
Punjab,Raman,2021,3,PUNJAB,1
Jammu and Kashmir,Qazigund,2021,1,JAMMU AND KASHMIR,1
Uttarakhand,Pauri,2021,5,UTTARAKHAND,1
Maharashtra,Deulgaon Raja,2021,27,MAHARASHTRA,1
