ROWID,Country,State LGD Code,State,City,SourceYear,Amount invested for building houses under Pradhan Mantri Awas Yojana,Amount sanctioned for building houses under Pradhan Mantri Awas Yojana,Amount released for building houses under Pradhan Mantri Awas Yojana,Houses sanctioned under Pradhan Mantri Awas Yojana mission,Houses grounded under Pradhan Mantri Awas Yojana mission,Houses completed construction under Pradhan Mantri Awas Yojana mission,YearCode,Year
5204,India,23,Madhya Pradesh,Shahpur,2021,70.52,25.67,14.37,1711,1504,670,2021,"Calendar Year (Jan - Dec), 2021"
5205,India,9,Uttar Pradesh,Shahpur,2021,65.78,25.63,12.85,1703,1510,941,2021,"Calendar Year (Jan - Dec), 2021"
5206,India,23,Madhya Pradesh,Shahpur,2021,55.8,21.41,13.49,1427,1427,1112,2021,"Calendar Year (Jan - Dec), 2021"
5207,India,8,Rajasthan,Shahpura,2021,28.53,8.93,3.56,529,171,171,2021,"Calendar Year (Jan - Dec), 2021"
5208,India,23,Madhya Pradesh,Shahpura,2021,50.81,18.66,5.59,1244,716,459,2021,"Calendar Year (Jan - Dec), 2021"
5209,India,23,Madhya Pradesh,Shahpura,2021,84.68,28.3,22.93,1885,1785,773,2021,"Calendar Year (Jan - Dec), 2021"
5210,India,8,Rajasthan,Shahpura(M),2021,10.78,2.59,1.78,179,407,407,2021,"Calendar Year (Jan - Dec), 2021"
5211,India,9,Uttar Pradesh,Shahpur Faraula,2021,1.04,0.16,0.16,7,7,7,2021,"Calendar Year (Jan - Dec), 2021"
5212,India,9,Uttar Pradesh,Shahpur Goverdhanpur Khadar,2021,0.21,0.02,0.02,1,1,1,2021,"Calendar Year (Jan - Dec), 2021"
5213,India,23,Madhya Pradesh,Shajapur,2021,87.59,28.5,17.0,1847,1813,841,2021,"Calendar Year (Jan - Dec), 2021"
5214,India,5,Uttarakhand,Shaktigarh,2021,29.73,21.61,15.76,594,314,242,2021,"Calendar Year (Jan - Dec), 2021"
5215,India,13,Nagaland,Shamator,2021,13.59,11.33,4.53,755,461,51,2021,"Calendar Year (Jan - Dec), 2021"
5216,India,8,Rajasthan,Shambhupura,2021,0.27,0.04,0.04,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5217,India,3,Punjab,Sham Chaurasi,2021,4.97,2.36,0.55,164,136,6,2021,"Calendar Year (Jan - Dec), 2021"
5218,India,23,Madhya Pradesh,Shamgarh,2021,42.69,14.53,9.15,965,744,643,2021,"Calendar Year (Jan - Dec), 2021"
5219,India,9,Uttar Pradesh,Shamli,2021,88.75,39.93,21.26,2650,2228,1229,2021,"Calendar Year (Jan - Dec), 2021"
5220,India,9,Uttar Pradesh,Shamsabad,2021,18.49,8.45,1.95,563,530,363,2021,"Calendar Year (Jan - Dec), 2021"
5221,India,9,Uttar Pradesh,Shamsabad (NPP),2021,61.34,21.67,5.85,1416,873,421,2021,"Calendar Year (Jan - Dec), 2021"
5222,India,36,Telangana,Shamshabad,2021,1.13,0.08,0.08,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
5223,India,23,Madhya Pradesh,Shamshabad,2021,59.62,21.39,3.48,1426,500,322,2021,"Calendar Year (Jan - Dec), 2021"
5224,India,1,Jammu And Kashmir,Shangus,2021,0.16,0.03,0.03,2,2,2,2021,"Calendar Year (Jan - Dec), 2021"
5225,India,9,Uttar Pradesh,Shankargarh,2021,37.54,16.97,6.37,1131,1403,998,2021,"Calendar Year (Jan - Dec), 2021"
5226,India,24,Gujarat,Shapur,2021,0.21,0.06,0.06,4,4,4,2021,"Calendar Year (Jan - Dec), 2021"
5227,India,24,Gujarat,Shapur,2021,0.73,0.25,0.25,10,10,10,2021,"Calendar Year (Jan - Dec), 2021"
5228,India,29,Karnataka,Shedbal,2021,26.75,10.14,2.2,676,584,205,2021,"Calendar Year (Jan - Dec), 2021"
5229,India,27,Maharashtra,Shegaon,2021,62.98,13.08,1.75,841,293,102,2021,"Calendar Year (Jan - Dec), 2021"
5230,India,24,Gujarat,Shehera,2021,37.37,13.86,5.95,904,863,271,2021,"Calendar Year (Jan - Dec), 2021"
5231,India,10,Bihar,Sheikhpura,2021,40.04,11.21,2.32,749,390,281,2021,"Calendar Year (Jan - Dec), 2021"
5232,India,24,Gujarat,Shekhpur,2021,1.14,0.25,0.25,11,11,11,2021,"Calendar Year (Jan - Dec), 2021"
5233,India,24,Gujarat,Shela,2021,1.49,0.15,0.15,6,6,6,2021,"Calendar Year (Jan - Dec), 2021"
5234,India,27,Maharashtra,Shelu,2021,4.34,0.7,0.7,28,28,28,2021,"Calendar Year (Jan - Dec), 2021"
5235,India,27,Maharashtra,Shendurjana,2021,28.86,6.73,0.02,449,165,92,2021,"Calendar Year (Jan - Dec), 2021"
5236,India,33,Tamil Nadu,Shenkottai,2021,16.97,6.93,2.43,465,416,174,2021,"Calendar Year (Jan - Dec), 2021"
