srcYear,srcStateName,City name,Location name,Number of Monitoring Days,Minimum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Maximum Concentration of Nitrogen Dioxide (NO2) (24-hourly average),Concentration of Nitrogen Dioxide (NO2) (Annual Average),YearCode,Year
2014,Tamilnadu,Madurai,Kunnathur Chatram Avvai Girls HS School,97.0,14.0,49.0,26.0,2014,"Calendar Year (Jan - Dec), 2014"
2021,Haryana,Karnal,,,,,20.0,2021,"Calendar Year (Jan - Dec), 2021"
2014,Tamilnadu,Salem,Sowdeswari College Building,131.0,14.0,55.0,29.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Tuticorin,"Fisheries College, Tuticorin Sipcot",93.0,12.0,27.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Tuticorin,Raja Agencies,102.0,16.0,27.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Tuticorin,AVM Jewellery Building,96.0,9.0,19.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Trichy,Gandhi Market,74.0,15.0,44.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Trichy,Main Guard Gate,74.0,13.0,32.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Trichy,Bishop Heber College,70.0,12.0,20.0,15.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Trichy,Golden Rock,71.0,11.0,19.0,15.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Trichy,Central Bus Stand,75.0,14.0,33.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Mettur,Raman Nagar,103.0,13.0,30.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,Mettur,SIDCO,102.0,17.0,69.0,26.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,cuddalore,Eachangadu Village,96.0,15.0,26.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,cuddalore,SIPCOT (Project Office),99.0,12.0,24.0,18.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Tamilnadu,cuddalore,"DEE Office, Cuddalore",99.0,14.0,26.0,19.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,"Tarnaka, NEERI Lab. IICT Campus",84.0,6.0,36.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,"Nacharam, Industrial Estate",77.0,5.0,35.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,ABIDS Circle General Post Office,80.0,6.0,43.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,Balanagar,102.0,21.0,52.0,32.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,"Uppal, Modern Foods & Industries IDA",105.0,19.0,46.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,Paradise,115.0,19.0,45.0,29.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,Charminar,106.0,20.0,45.0,28.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,Zoo Park,115.0,12.0,27.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Hyderabad,"Jeedimetla Industrial Estate, Rangareddy Distt.",116.0,14.0,42.0,30.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Karimnagar,"On the terrace of the DIC building, Karimnagar",101.0,8.0,37.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Khammam,Jalasoudha building,105.0,4.5,29.0,18.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Khammam,Station Name: CER Club Khamam,106.0,4.5,25.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Adilabad,"Top of the Building SCCL Manadamarri Club Mandamarri, Adilabad",18.0,12.0,13.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Nalgonda,"M/s. Srini Pharmaceuticals pvt. Ltd.Choutuppal (V & M), Nalgonda dist",108.0,15.0,22.0,18.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Nalgonda,AP PCB Nalgonda,108.0,14.0,22.0,17.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Nizamabad,"subashnagar,nizamabad dist",18.0,12.0,14.0,12.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Prakasam,"Near Court Center, Ongole",108.0,16.0,42.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Gaddapotharam Medak District,Top of the Administrative Building of M/s. Mylan Industries. GADDAPOTHARA,57.0,16.0,26.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Gaddapotharam Medak District,Top of the Regional office Building of SANGAREDDY,74.0,10.0,16.0,13.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,R.C.PURAM,Pashamylaram,354.0,10.0,134.0,53.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Patencheru,"Police Station, Medak, Ramachadrapuram",107.0,20.0,33.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Ramagundam,"Godavarikhani, Ramagundam, Karimnagar",80.0,8.0,38.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Warangal,"KUDA Office, Hanumakonda",90.0,6.0,24.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Telangana,Warangal,"On the terrace of MeeSeva Building ,Municipal Complex,Warangal. Dist.",106.0,4.5,19.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,"Regional Office, Bodla",74.0,9.0,12.0,11.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,Nunhai,80.0,10.0,19.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,Taj Mahal,294.0,5.0,59.0,14.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,DIC Nunhai,129.0,5.0,76.0,31.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,Etmaduddaulah,131.0,5.0,55.0,20.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Agra,Rambagh,138.0,9.0,55.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Allahabad,Square crossing circle of Laxmi Talkies,105.0,17.0,58.0,31.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Allahabad,Bharat Yantra Nigam Ltd,105.0,11.0,44.0,25.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Anpara,"Anpara Colony, Sonabhadra",98.0,20.0,30.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Anpara,"Renusagar Colony, Sonabhadra",98.0,21.0,31.0,27.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Bareily,IVRI Izatnaga,53.0,17.0,34.0,22.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Bareily,"Indian oetrol pump, Civil Line",53.0,18.0,38.0,24.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Firozabad,Center for Development of Glass Industry,103.0,17.0,34.0,23.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Firozabad,Tilak Nagar,103.0,17.0,25.0,21.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Firozabad,Raza ka Tal,102.0,26.0,39.0,33.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Gajraula,"Raunaq Auto Ltd, J.P. Nagar",91.0,16.0,53.0,32.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Gajraula,"Indira Chowk, J.P. Nagar",91.0,15.0,60.0,37.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Ghaziabad,"Atlas Cycles Industries, Sahibabad Ind. area",92.0,27.0,46.0,40.0,2014,"Calendar Year (Jan - Dec), 2014"
2014,Uttar Pradesh,Ghaziabad,Bulandshaar Road Industrial Area,85.0,24.0,48.0,39.0,2014,"Calendar Year (Jan - Dec), 2014"
2015,Goa,Codli,"Codli Tisk, Ponda",103.0,5.0,10.0,8.0,2015,"Calendar Year (Jan - Dec), 2015"
