srcStateName,srcSubDistrictName,srcYear,Number of telemetric raingauge Stations Working,Number of telemetric raingauge Stations Under Repair,Number of telemetric raingauge Stations,Annual Normal Rainfall (1961 - 2010) Rainy Days,Annual Normal Rainfall (1961 - 2010) Normal Rainfall,srcDistrictName,YearCode,Year
Karnataka,Tiptur,2019-20,28,1,29,45,731,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,T.Narasipura,2019-20,40,0,40,47,738,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tumkur,2019-20,44,1,45,53,830,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Turuvekere,2019-20,29,0,29,46,772,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Udupi,2019-20,14,3,17,116,3862,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Vadagera,2019-20,19,0,19,43,617,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Virajpet,2019-20,38,1,39,113,2468,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yadgir,2019-20,27,1,28,49,908,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yadrami,2019-20,20,0,20,44,687,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yalandur,2019-20,12,0,12,46,867,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yelahanka,2019-20,33,0,33,58,752,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yelburga,2019-20,22,3,25,37,597,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yellapur,2019-20,14,0,14,98,2668,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
