ROWID,Country,State lgd code,State,Station code,Station name,Minimum temperature for ground water in celsius,Maximum temperature for ground water in celsius,Minimum potential of hydrogen value in water,Maximum potential of hydrogen value in water,Minimum conductivity level,Maximum conductivity level,Minimum biochemical oxygen demand,Maximum biochemical oxygen demand,Minimum  of nitrate n + nitrite n required required for ground water,Maximum  of nitrate n + nitrite n required required for ground water,Minimum  of faecal coliforms required for ground water,Maximum   of faecal coliforms required for ground water,Minimum  of total coliform required for ground water,Maximum  of total coliform required for ground water,Source year,Year code,Year
125,India,2,Himachal Pradesh,1562,"AT UNA, H.P",15,25,7.4,7.85,428,630,0,0.5,1.71,3.33,4,4,26,26,2012,2012,"Calendar Year (Jan - Dec), 2012"
126,India,2,Himachal Pradesh,2641,HAND PUMP AT CHAMBA TOWN,15,15,7.2,7.48,668,691,0.2,0.8,1.25,1.43,4,4,9,9,2012,2012,"Calendar Year (Jan - Dec), 2012"
127,India,2,Himachal Pradesh,2630,HAND PUMP AT HAMIRPUR TOWN,15,15,7,7.04,7.36,1300,0.4,0.5,0.2,3.135,4,5,17,22,2012,2012,"Calendar Year (Jan - Dec), 2012"
128,India,17,Meghalaya,1637,"SOHRA, CHERRAPUNJEE",15,19,5.5,6.6,110,117,1.2,2.1,1.2,5,6,8,24,28,2017,2017,"Calendar Year (Jan - Dec), 2017"
129,India,2,Himachal Pradesh,1882,MEHATPUR INDUSTRIAL AREA,15,24,7.68,7.71,573,870,0.5,0.5,0.28,1.41,5,11,18,21,2012,2012,"Calendar Year (Jan - Dec), 2012"
130,India,17,Meghalaya,1638,UMSAHEP,15,20,6,6.6,120,131,0.5,0.6,7.2,7,8,11,13,17,2013,2013,"Calendar Year (Jan - Dec), 2013"
131,India,10,Bihar,1837,GROUND WATER FROM  BEGUSARAI,15,15,7.2,7.2,370,370,,,0.11,0.11,11,11,11,11,2019,2019,"Calendar Year (Jan - Dec), 2019"
132,India,17,Meghalaya,4325,BOREWELL AT KHLIEHWAH  SHASEM - B IN KHLIEHRIAT,15,17,4.3,4.8,85,110,1,1.3,0.25,0.34,4,39,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
133,India,27,Maharashtra,1986,"MOTAPADA,DAHANU, THANE",15,15,8.4,8.4,546,546,4.2,4.2,0.6,0.6,70,70,17,17,2019,2019,"Calendar Year (Jan - Dec), 2019"
134,India,21,Odisha,3965,"NEAR BUS STAND, BERHAMPUR",15,24,7.4,8,1283,1397,0.3,0.5,0.21,0.73,2,79,2,13,2019,2019,"Calendar Year (Jan - Dec), 2019"
135,India,2,Himachal Pradesh,1873,GROUND WATER AT  DHARAMSHALA KANGRA D/S OF  MSW DUMPING SITE,15,16,6.8,7.6,182,344,0.1,0.3,0.06,0.73,94,94,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
136,India,10,Bihar,1836,"HAND PUMP WATER NEAR BUS  STAND TILKS MANJHI CHOWK,  BEGUSARAI",15,15,7.4,7.4,882,882,,,0.72,0.72,1600,1600,280,280,2019,2019,"Calendar Year (Jan - Dec), 2019"
137,India,2,Himachal Pradesh,2632,HAND PUMP AT BILASPUR TOWN,15,20,6.9,8.4,729,869,0.1,0.1,0,8.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
138,India,2,Himachal Pradesh,2642,HAND PUMP AT DALHOUSIE  TOWN,15,16,7.1,8.3,192,453,0.1,0.2,0,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
139,India,2,Himachal Pradesh,2636,HAND PUMP AT KANGRA TEMPLE/ TOWN,15,16,8.1,8.2,484,780,0.1,0.2,0.2,0.5,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
140,India,2,Himachal Pradesh,2639,HAND PUMP AT CHAMUNDA DEVI  TEMPLE/ TOWN,15,20,7.8,8.3,96,437,0.2,0.3,1.3,2,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
141,India,15,Mizoram,3731,TUIKUAL HAND PUMP,15,23,5.2,7.4,136,605,0.1,0.8,0.1,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
142,India,2,Himachal Pradesh,2641,HAND PUMP AT CHAMBA TOWN,15,15,6.8,7.6,715,729,0.4,0.8,0,0,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
143,India,15,Mizoram,2055,MISSION VENGTHLANG  (SOUTHERN PART),15,22,6.7,8.8,11,533,0.2,1.2,0.082,0.082,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
144,India,18,Assam,2264,GROUND WATER IN PANCHGRAM  MARKET NEAR CACHAR PAPER MILL,15,18,5.9,7.2,206,472,0.8,1.3,1.25,1.25,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
145,India,1,Jammu And Kashmir,3290,GROUND WATER AT  ZANAKOT (I),15,15,7.4,7.4,1032,1032,1.3,1.3,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
146,India,15,Mizoram,3739,"ZOBAWK VENG HAND PUMP,  LUNGLEI",15,25,6.3,8.1,,,1.5,1.5,0.01,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
147,India,15,Mizoram,3745,"CHHOCHHOPA TUIKHUR, SAIHA",15,20,6.3,7.7,198,198,1.5,1.7,0,0.16,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
148,India,15,Mizoram,3748,"PROJECT NENG HAND PUMP,  SERCHHIP",15,22,6.7,8.2,69,677,1.2,1.8,0,0.2,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
149,India,15,Mizoram,4124,"ELECTRIC VENG TUIKHUR,  LUNGKEI (SPRING)",15,25,6.1,7.5,301,301,1.6,1.8,0,0.09,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
150,India,15,Mizoram,3741,"KHURPUI TUIKHUR, LAWNGTLAI",15,24,6.7,8.5,250,250,1.5,1.9,0,0.15,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
151,India,15,Mizoram,3728,"KHURPUI TUIKHUR, S HLIMEN",15,26,6.6,7.9,247,247,0.7,2,0,0.04,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
152,India,15,Mizoram,3748,"PROJECT VENG HAND PUMP,SERCHHIP",15,22,7.2,7.5,104,333,1.1,2.1,0.03,0.1,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
153,India,15,Mizoram,3737,"VAITUI TUIKHUR,THEIRIAT, LUNGLEI",15,24,6.6,7.5,120,310,0.7,2.2,0.02,0.07,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
154,India,15,Mizoram,3727,"TUITHANG VENG, TUIKHUR",15,28,5,7.1,263,263,0.6,2.2,0,0.24,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
155,India,15,Mizoram,3758,"BETHEL VENG HAND PUMP, CHAMPHAI",15,23,6.7,7.3,152,324,0.5,2.3,0.04,0.11,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
156,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI TEMPLE,15,20,7.4,7.5,1070,1590,0.6,2.8,0.2,5.8,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
157,India,18,Assam,2263,GROUND WATER FROM  HIALAKANDI (NEAR ASTC BUS STAND ),15,15,6.3,6.3,142,142,3.4,3.4,0.22,0.22,,,1,1,2012,2012,"Calendar Year (Jan - Dec), 2012"
158,India,1,Jammu And Kashmir,3290,GROUND WATER AT ZANAKOT (I),15,15,7.2,7.2,668,668,3.5,3.5,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
159,India,1,Jammu And Kashmir,3291,GROUND WATER AT ZANAKOT (II),15,15,7.2,7.2,679,679,4.6,4.6,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
160,India,2,Himachal Pradesh,2637,HAND PUMP AT JWALAJI TEMPLE,15,18,6.8,7.6,1460,1660,0.2,9,5.38,5,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
161,India,5,Uttarakhand,3456,"GROUND WATER AT SELAQUI  INDUSTRIAL AREA- 1,  DEHRADUN",15,18,7.2,7.6,169,169,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
162,India,5,Uttarakhand,3457,"GROUND WATER AT SELAQUI  INDUSTRIAL AREA- 2,  DEHRADUN",15,18,7.2,7.3,182,182,,,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
163,India,2,Himachal Pradesh,1558,AT BADDI,15.3,24.3,7.3,8.4,500,1009,0.2,0.8,0.1,10.43,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
164,India,2,Himachal Pradesh,1559,AT BAROTIWALA,15.4,25.5,7.3,8.2,355,1070,0.2,0.4,0,8.41,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
165,India,1,Jammu And Kashmir,3291,GROUND WATER AT  ZANAKOT (II),15.4,15.4,7.4,7.4,1001,1001,1.2,1.2,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
166,India,17,Meghalaya,4323,BOREWELL AT GOOD SHAPHARD  PARISH IN LADRYMBAI,15.5,17,7.1,7.5,142,188,1.1,1.5,0.51,0.57,2,34,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
167,India,2,Himachal Pradesh,1879,NALAGARH INDUSTRIAL AREA,15.6,24,7.2,8,445,1579,0.1,0.8,0,15.42,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
168,India,2,Himachal Pradesh,1560,AT NALAGARH,15.6,25.4,7.2,7.7,983,1579,0.1,1,0.54,15.42,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
169,India,3,Punjab,1902,"SHUKLA TEA STAL POINT, LUDHIANA",16,16,6.4,6.9,1411,1455,0,0,0.32,7.2,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
170,India,2,Himachal Pradesh,1561,GROUND WATER AT DAMTAL,16,22,7.8,7.9,542,1812,0.1,0.1,0,0.21,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
171,India,2,Himachal Pradesh,1561,AT DAMTA,16,16,7.7,7.8,772,855,0.1,0.2,0,0.04,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
172,India,21,Odisha,3987,"BELPAHAR AREA, JHARSUGUDA",16,21,6.8,6.9,195,199,0.2,0.3,0.17,0.61,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
173,India,2,Himachal Pradesh,1881,PAONTA SAHIB INDUSTRIAL  AREA,16,25,6.4,7.8,301,352,0.8,0.8,0.18,0,1,2,3,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
174,India,2,Himachal Pradesh,1555,"AT KALA AMB, H.P",16,26,6.8,7.8,319,379,0.6,0.8,0.1,3,1,2,2,5,2013,2013,"Calendar Year (Jan - Dec), 2013"
175,India,2,Himachal Pradesh,1880,KALA AMB INDUSTRIAL AREA,16,28,6.7,7.2,327,438,0.8,0.8,0.16,0,1,2,3,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
176,India,2,Himachal Pradesh,2645,HAND PUMP AT NAHAN,16,24,7,7.5,366,441,0.8,0.8,0.19,0,2,2,2,9,2013,2013,"Calendar Year (Jan - Dec), 2013"
177,India,9,Uttar Pradesh,2473,"KHEKRA, BAGHPAT",16,18,7.4,7.7,760,780,,,3.2,3.5,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
178,India,2,Himachal Pradesh,1556,"AT PAONTA SAHIB, H.P",16,25,7.1,7.4,362,402,0.6,0.8,0.12,1.22,1,3,3,6,2013,2013,"Calendar Year (Jan - Dec), 2013"
179,India,8,Rajasthan,2019,"NEAR UIT BRIDGE, UDAIPUR",16,22,7.1,7.2,1160,1800,1.3,1.4,1.84,2.1,3,3,3,3,2017,2017,"Calendar Year (Jan - Dec), 2017"
180,India,17,Meghalaya,3385,"MAWTHADRISHAN WELL AT  MARKASA, WEST KHASI HILLS",16,18,6.8,7,30,34,1,1.2,2.8,2.8,4,9,21,29,2013,2013,"Calendar Year (Jan - Dec), 2013"
181,India,17,Meghalaya,3385,"MAWTHADRISHAN WELL AT  MARKASA, WEST KHASI HILLS",16,17,6.8,6.9,45,58,1.5,2.2,0.4,0.5,11,12,24,27,2016,2016,"Calendar Year (Jan - Dec), 2016"
182,India,8,Rajasthan,4177,"SWAROOP NAGAR, UDAIPUR",16,32,8.3,8.6,580,630,0.6,2.2,2.4,3,7,14,11,150,2018,2018,"Calendar Year (Jan - Dec), 2018"
183,India,8,Rajasthan,4178,"GOVERDHAN SAGAR, UDAIPUR",16,32,8.2,8.6,1050,1270,1.1,4.3,2.3,3.1,7,20,20,75,2018,2018,"Calendar Year (Jan - Dec), 2018"
184,India,21,Odisha,3985,"RAMPUR AREA (WATER TANK),  JHARSUGUDA",16,18,6.6,6.8,241,286,0.1,0.5,0.21,0.38,13,23,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
185,India,17,Meghalaya,1635,"MAWLAI, SHILLONG  (MAWPDANG SPRING)",16,16,5.2,6.1,185,290,1.6,1.8,12.46,18.3,22,23,2,11,2019,2019,"Calendar Year (Jan - Dec), 2019"
186,India,10,Bihar,1840,"TAP WATER PHED PUMP HOUSE  MAIN ROAD, MOTIHARI",16,16,7.4,7.4,740,740,,,0.08,0.08,33,33,13,13,2019,2019,"Calendar Year (Jan - Dec), 2019"
187,India,17,Meghalaya,4324,BOREWELL AT KHLIEHWAH  SHASEM - A IN KHLIEHRIAT,16,16,5,5.2,124,135,1.2,1.3,0.19,0.33,12,49,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
188,India,17,Meghalaya,1634,"POLICE BAZAR, SHILLONG  (POLICE BAZAAR SPRING)",16,17,5.5,6,250,265,1.8,1.9,7.55,11,58,79,11,22,2019,2019,"Calendar Year (Jan - Dec), 2019"
189,India,27,Maharashtra,2828,"DUG WELL NEAR JILLA PARISHET PRIMARY SCHOOL,  VISAPUR. VILLAGE- VISAPUR, TALUKA- BALLARPUR,DISTRICT- CHANDRAPUR.",16,20,7.66,7.8,790,1498,4.8,5.2,1.08,4.86,13,90,50,280,2012,2012,"Calendar Year (Jan - Dec), 2012"
190,India,8,Rajasthan,2976,"SUJAN GANGA, BHARATPUR",16,31,8.2,8.7,7800,9100,22.1,26.4,3.7,10.3,75,150,210,2400,2016,2016,"Calendar Year (Jan - Dec), 2016"
191,India,2,Himachal Pradesh,1874,SOLAN-D/S OF MSW DUMPING  SIOT-,16,22,7.2,8.3,150,738,0.1,2,9.66,10,2,152,10,264,2013,2013,"Calendar Year (Jan - Dec), 2013"
192,India,10,Bihar,3157,GROUND WATER FROM  SULTANGANJ,16,16,7.1,7.1,1480,1480,,,0.22,0.22,920,920,220,220,2019,2019,"Calendar Year (Jan - Dec), 2019"
193,India,10,Bihar,3148,GROUND WATER FROM  JAMALPUR,16,16,7.3,7.3,1120,1120,,,0.5,0.5,1600,1600,540,540,2019,2019,"Calendar Year (Jan - Dec), 2019"
194,India,2,Himachal Pradesh,2639,HAND PUMP AT CHAMUNDA  DEVI TEMPLE/ TOWN,16,16,7.5,7.8,150,152,0.1,0.1,0,0.06,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
195,India,2,Himachal Pradesh,1561,AT DAMTAL,16,17,7.1,7.8,188,626,0.1,0.1,0.2,0.5,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
196,India,2,Himachal Pradesh,1560,"AT NALAGARH, H.P",16,18.9,8,8.6,469,1963,0.1,0.1,0,4.4,,,3.7,3.7,2016,2016,"Calendar Year (Jan - Dec), 2016"
197,India,2,Himachal Pradesh,2638,HAND PUMP AT CHINTPURNI  TEMPLE/ TOWN,16,20,7.7,8,626,1290,0.1,0.2,0,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
198,India,2,Himachal Pradesh,1873,DHARAMSHALA KANGRA D/S OF  MSW DUMPING SIOT,16,16,6.5,7.7,324,410,0.2,0.3,3,4.6,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
199,India,2,Himachal Pradesh,2641,HAND PUMP AT CHAMBA  TOWN,16,18,7.4,7.4,708,924,0.1,0.3,0,0.2,,,3.6,3.6,2016,2016,"Calendar Year (Jan - Dec), 2016"
200,India,2,Himachal Pradesh,1873,DHARAMSHALA KANGRA D/S OF  MSW DUMPING SIOT,16,19,5.6,7.1,272,298,0.6,0.8,4.43,5,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
201,India,1,Jammu And Kashmir,3292,GROUND WATER AT  SADAKADAL,16,16,7.5,7.5,505,505,1,1,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
202,India,18,Assam,2262,GROUND WATER FROM KARIMGANJ  (COLLEGE),16,16,6.7,6.7,181,181,1.2,1.2,4.41,5,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
203,India,1,Jammu And Kashmir,3288,GROUND WATER AT IQBAL  PARK,16,16,7.4,7.4,680,680,1.5,1.5,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
204,India,15,Mizoram,4127,"KHURPUI TUIKHUR, NEW  COLONY, SAIHA (SPRING)",16,20,5.5,7.1,242,242,1.7,1.8,0,0.17,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
205,India,15,Mizoram,4129,"TUIVAMIT TUIKHUR, AOC VENG,  LAWNGTLAI (SPRING)",16,24,6.7,7.7,125,125,1.1,1.9,0,0.13,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
206,India,15,Mizoram,4128,"HAND PUMP, NEW SAIHA BAZAR",16,23,6.7,7.4,127,171,0.9,1.9,0,0.1,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
207,India,15,Mizoram,3737,"VAITUI TUIKHUR,THEIRIAT,  LUNGLEI",16,25,6.1,7.3,300,300,0.8,1.9,0,0.03,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
208,India,15,Mizoram,4128,"HAND PUMP, NEW SAIHA BAZAR",16,21,5.8,6.6,,,1.9,1.9,0.07,0.2,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
209,India,2,Himachal Pradesh,2639,HAND PUMP AT CHAMUNDA DEVI  TEMPLE/ TOWN,16,18,6,8,79,181,0.3,2,1.46,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
210,India,8,Rajasthan,2031,"NEAR 9 NO. PETROL PUMP, NEAR  ADARSH NAGAR GATE, AJMER",16,23,8.2,8.4,1210,1400,1.4,2,1.14,1,,,4,35,2013,2013,"Calendar Year (Jan - Dec), 2013"
211,India,15,Mizoram,2054,RAMHLUM (NORTHERN PART),16,24,5.4,7.1,328,328,0.7,2.1,0,0.64,,,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
212,India,8,Rajasthan,2032,"NEAR KHANPURA TALAB, AJMER",16,21,8,8.1,4600,5000,1,2.4,10,10,,,4,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
213,India,15,Mizoram,2054,RAMHLUM (NORTHERN PART),16,22,5.3,8.3,11,435,1,2.8,0.079,0.079,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
214,India,1,Jammu And Kashmir,3288,GROUND WATER AT IQBAL PARK,16,16,7.1,7.1,569,569,3,3,0,0,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
215,India,27,Maharashtra,2007,"SAVALI, SANGLI",16,25,6.8,7.3,1216,1840,2.2,3.2,0.7,3.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
216,India,1,Jammu And Kashmir,2762,"R.S. PURA TEHSIL, JAMMU",16,21,7.8,8.4,1210,1506,20,20,0.3,0.6,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
217,India,1,Jammu And Kashmir,2760,MALADHAR TALAB  (POND)HATLI (KATHUA),16,16,6.7,6.7,306,306,,,0.6,0.6,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
218,India,1,Jammu And Kashmir,2759,DUGWELL AT GAGHWAL(KATHUA DISTT),16,26,7,7.2,440,460,,,0.3,0.31,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
219,India,1,Jammu And Kashmir,2759,DUGWELL AT GAGHWAL(KATHUA DISTT),16,16,7.3,7.8,440,480,,,0,0.2,,,,,2018,2018,"Calendar Year (Jan - Dec), 2018"
220,India,1,Jammu And Kashmir,2759,DUG WELL AT GAGHWAL  (KATHUA DISTT.),16,16,7,7,450,450,,,0.4,0.4,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
221,India,3,Punjab,1902,"SHUKLA TEA STAL POINT, LUDHIANA",16,16,6.9,7.9,1240,1310,,,12,11.8,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
222,India,9,Uttar Pradesh,2477,NEAR ARYA KANYA INTER  COLLEGE. JALAUN,16.1,25,7.42,8.64,1106,1570,0.5,0.9,0.36,0.42,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
223,India,1,Jammu And Kashmir,2762,"R.S. PURA TEHSIL,  JAMMU,J&K",16.2,16.2,9.4,9.4,2000,2000,68,68,,,,,,,2012,2012,"Calendar Year (Jan - Dec), 2012"
224,India,3,Punjab,1898,"PETROL PUMP OPP. HERO CYCLE, LUDHIANA",17,17,7.1,7.5,1115,1164,0,0,4.4,12.6,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
225,India,2,Himachal Pradesh,1556,AT PAONTA SAHIB,17,17,7.3,7.7,827,982,0.1,0.1,2.89,2.91,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
226,India,21,Odisha,3983,"BUDHIPADAR, JHARSUGUDA",17,21,5.9,7.8,157,176,0.1,0.4,3.7,6.5,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
227,India,21,Odisha,3986,"IB THERMAL POWER STATION,  JHARSUGUDA",17,23,6.6,6.9,219,315,0.4,0.4,0.18,0.48,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
228,India,21,Odisha,3983,"BUDHIPADAR, JHARSUGUDA",17,20,6.4,6.6,170,187,0.4,0.6,0.5,0.78,2,2,2,2,2019,2019,"Calendar Year (Jan - Dec), 2019"
229,India,23,Madhya Pradesh,2144,"MADAI GRAM, JABALPUR",17,19,7.7,8.4,416,435,1.1,1.1,0.2,0.5,2,2,2,2,2017,2017,"Calendar Year (Jan - Dec), 2017"
230,India,21,Odisha,3985,"RAMPUR AREA (WATER TANK), JHARSUGUDA",17,26,6.6,8.1,187,329,0.5,1.8,0.2,0.6,2,2,2,2,2018,2018,"Calendar Year (Jan - Dec), 2018"
231,India,2,Himachal Pradesh,2633,HAND PUMP AT RECONGPEO,17,17,7.6,7.9,281,401,1.6,2,0.252,0,2,2,2,2,2013,2013,"Calendar Year (Jan - Dec), 2013"
232,India,5,Uttarakhand,3450,"GROUND WATER AT SIDCUL  INDUSTRIAL AREA- 1,  ROSHANABAD COLLECTORATE,  HARIDWAR",17,18,7,7.5,422,486,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
233,India,5,Uttarakhand,3451,"GROUND WATER AT SIDCUL  INDUSTRIAL AREA- 2,  SALEEMPUR  CHOWK,ROORKEE,HARIDWAR",17,20,7.4,7.4,451,970,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
234,India,5,Uttarakhand,3454,"GROUND WATER AT ROORKEE  INDUSTRIAL AREA- 1, CHC  BHAGWANPUR,HARIDWAR",17,18,7.2,7.5,510,890,,,,,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
235,India,9,Uttar Pradesh,2473,"KHEKRA, BAGHPAT",17,17,7.1,7.1,715,715,,,2.1,2.1,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
236,India,9,Uttar Pradesh,1750,"TUBE WELL AT BAGPAT CITY, U.P",17,17,7.4,7.4,725,725,,,1.8,1.8,2,2,,,2019,2019,"Calendar Year (Jan - Dec), 2019"
237,India,8,Rajasthan,2030,"OPPOSITE PRIVATE BUS STAND,  AJMER",17,21,7.6,8,4000,4100,0.9,1.5,9.2,9,4,4,4,4,2013,2013,"Calendar Year (Jan - Dec), 2013"
238,India,17,Meghalaya,1638,SHANGPUNG,17,20,5,5.3,135,149,1,1,8,10.4,10,11,22,24,2016,2016,"Calendar Year (Jan - Dec), 2016"
239,India,17,Meghalaya,1637,WAH-U-DKHAR,17,19,6.5,6.6,75,87,0.5,0.6,6,6,9,12,17,26,2013,2013,"Calendar Year (Jan - Dec), 2013"
240,India,2,Himachal Pradesh,2632,HAND PUMP AT BILASPUR TOWN,17,24,8,8.4,77,908,0,0.1,0,0.4,2,13,2,79,2018,2018,"Calendar Year (Jan - Dec), 2018"
241,India,17,Meghalaya,1637,SOHRA CHERRAPUNJEE,17,18,6.5,6.6,98,115,1,1,5.6,6,10,14,25,36,2016,2016,"Calendar Year (Jan - Dec), 2016"
242,India,17,Meghalaya,1638,"SHANGPUNG, MEGHALAYA",17,19,5.1,6.5,115,125,0.8,1,5.6,7.2,11,14,20,23,2012,2012,"Calendar Year (Jan - Dec), 2012"
243,India,21,Odisha,3984,"BRAJARAJ NAGAR MINING BELT, JHARSUGUDA",17,24,6.5,7.9,138,325,0.2,0.4,0.5,3.7,2,22,2,79,2018,2018,"Calendar Year (Jan - Dec), 2018"
244,India,17,Meghalaya,1634,DREAMLAND (SPRING),17,18,6.6,6.9,195,220,2.6,3,8,8,21,23,39,43,2013,2013,"Calendar Year (Jan - Dec), 2013"
245,India,17,Meghalaya,1636,"INDUSTRIAL ESTATE, BYRNIHAT  (NARBONG WELL - SPRING)",17,18,6.6,6.7,105,185,1.9,2.2,0.38,0.42,23,47,2,11,2019,2019,"Calendar Year (Jan - Dec), 2019"
246,India,21,Odisha,3981,"BURKHAMUNDA, JHARSUGUDA",17,22,7.1,7.4,190,196,0.2,0.2,0.46,4.79,2,49,2,17,2019,2019,"Calendar Year (Jan - Dec), 2019"
247,India,21,Odisha,3986,"IB THERMAL POWER STATION, JHARSUGUDA",17,24,6.7,8.2,294,333,0.4,0.6,0.2,0.6,2,240,2,540,2018,2018,"Calendar Year (Jan - Dec), 2018"
248,India,21,Odisha,3987,"BELPAHAR AREA, JHARSUGUDA",17,25,6.9,7.9,177,705,0.4,0.6,0.4,0.6,2,540,2,920,2018,2018,"Calendar Year (Jan - Dec), 2018"
249,India,21,Odisha,3964,"NEAR MKCG MEDICAL COLLEGE,  BERHAMPUR",17,24,7.8,8.2,670,1250,0.2,0.2,0.16,0.51,23,1600,2,540,2019,2019,"Calendar Year (Jan - Dec), 2019"
250,India,2,Himachal Pradesh,2640,HAND PUMP AT SANSARPUR  TERRACE IA,17,19,7.5,7.9,376,425,0.1,0.1,0.1,0.1,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
251,India,2,Himachal Pradesh,1562,AT UNA,17,20,7.9,8.4,523,946,0.1,0.1,0,0.04,,,,,2017,2017,"Calendar Year (Jan - Dec), 2017"
252,India,2,Himachal Pradesh,1561,"AT DAMTAL, H.P",17,17,7.2,7.7,478,716,0.1,0.2,0,0,,,,,2016,2016,"Calendar Year (Jan - Dec), 2016"
253,India,18,Assam,2261,GROUND WATER FROM HAFLONG,17,18,7.1,7.1,92,196,0.5,0.8,0.7,1,,,,,2013,2013,"Calendar Year (Jan - Dec), 2013"
254,India,2,Himachal Pradesh,2636,HAND PUMP AT KANGRA TEMPLE/  TOWN,17,19,7.4,7.5,368,586,0.2,1,0.2,1.1,,,,,2014,2014,"Calendar Year (Jan - Dec), 2014"
255,India,8,Rajasthan,2029,"NEAR GANDHI BHWAN, AJMER",17,23,8.2,8.2,870,880,0.6,1.3,0.58,1,,,4,7,2013,2013,"Calendar Year (Jan - Dec), 2013"
